Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
419.000000,-254.000000,-706.000000,0.960000,0.150000,-0.250000,0.080000
-40.000000,-619.000000,-105.000000,0.910000,0.320000,-0.230000,0.130000
-393.000000,-732.000000,506.000000,0.850000,0.450000,-0.230000,0.150000
-123.000000,-147.000000,308.000000,0.830000,0.480000,-0.230000,0.160000
-152.000000,-105.000000,382.000000,0.830000,0.490000,-0.230000,0.160000
-131.000000,-20.000000,205.000000,0.830000,0.490000,-0.230000,0.160000
-91.000000,-1.000000,173.000000,0.830000,0.490000,-0.230000,0.160000
-91.000000,-25.000000,238.000000,0.820000,0.490000,-0.230000,0.160000
-79.000000,-45.000000,246.000000,0.820000,0.500000,-0.230000,0.160000
-47.000000,-25.000000,304.000000,0.820000,0.500000,-0.230000,0.160000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
92.000000,-67.000000,-214.000000,0.970000,-0.030000,-0.240000,0.070000
-19.000000,-23.000000,-181.000000,0.970000,-0.030000,-0.240000,0.070000
24.000000,31.000000,3.000000,0.970000,-0.020000,-0.240000,0.070000
265.000000,-148.000000,-477.000000,0.970000,-0.020000,-0.240000,0.070000
208.000000,-486.000000,-454.000000,0.940000,0.170000,-0.260000,0.110000
-465.000000,-648.000000,934.000000,0.870000,0.390000,-0.260000,0.150000
-180.000000,37.000000,-45.000000,0.860000,0.390000,-0.280000,0.150000
-120.000000,-21.000000,157.000000,0.860000,0.400000,-0.270000,0.150000
-57.000000,4.000000,257.000000,0.860000,0.400000,-0.280000,0.150000
-102.000000,7.000000,387.000000,0.860000,0.400000,-0.280000,0.150000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
189.000000,-8.000000,-121.000000,0.980000,-0.070000,-0.210000,0.030000
26.000000,-24.000000,-218.000000,0.980000,-0.070000,-0.210000,0.030000
3.000000,-12.000000,-178.000000,0.980000,-0.070000,-0.200000,0.030000
353.000000,-457.000000,-996.000000,0.970000,-0.010000,-0.220000,0.040000
-183.000000,-428.000000,-812.000000,0.950000,0.160000,-0.230000,0.090000
-302.000000,-661.000000,533.000000,0.890000,0.350000,-0.260000,0.120000
-431.000000,-569.000000,615.000000,0.840000,0.440000,-0.270000,0.140000
-67.000000,122.000000,321.000000,0.850000,0.440000,-0.270000,0.140000
-138.000000,8.000000,333.000000,0.840000,0.440000,-0.270000,0.140000
-170.000000,-12.000000,240.000000,0.840000,0.440000,-0.280000,0.140000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
39.000000,-31.000000,-254.000000,0.960000,-0.110000,-0.210000,0.130000
34.000000,-43.000000,-279.000000,0.960000,-0.110000,-0.210000,0.130000
77.000000,-52.000000,-303.000000,0.960000,-0.110000,-0.210000,0.130000
13.000000,-437.000000,-152.000000,0.950000,0.030000,-0.280000,0.140000
-191.000000,-656.000000,151.000000,0.910000,0.250000,-0.270000,0.170000
-428.000000,-471.000000,804.000000,0.870000,0.380000,-0.270000,0.180000
-127.000000,-166.000000,304.000000,0.850000,0.400000,-0.280000,0.180000
-108.000000,-18.000000,355.000000,0.850000,0.400000,-0.280000,0.180000
-101.000000,-16.000000,193.000000,0.850000,0.410000,-0.280000,0.180000
-101.000000,1.000000,237.000000,0.850000,0.410000,-0.280000,0.180000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
329.000000,-287.000000,-1484.000000,0.940000,0.080000,-0.300000,0.150000
-46.000000,-865.000000,-51.000000,0.880000,0.340000,-0.290000,0.180000
-208.000000,-797.000000,864.000000,0.810000,0.470000,-0.300000,0.180000
-113.000000,-97.000000,234.000000,0.810000,0.480000,-0.290000,0.180000
-65.000000,-11.000000,251.000000,0.810000,0.480000,-0.290000,0.180000
-128.000000,-6.000000,265.000000,0.810000,0.480000,-0.290000,0.180000
-125.000000,14.000000,270.000000,0.810000,0.480000,-0.290000,0.180000
-130.000000,-32.000000,321.000000,0.810000,0.480000,-0.290000,0.180000
-81.000000,-14.000000,319.000000,0.810000,0.480000,-0.290000,0.170000
-83.000000,26.000000,303.000000,0.810000,0.480000,-0.290000,0.170000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
237.000000,-34.000000,-382.000000,0.970000,0.020000,-0.030000,-0.220000
473.000000,-171.000000,65.000000,0.970000,0.000000,0.010000,-0.240000
131.000000,18.000000,24.000000,0.970000,-0.010000,-0.020000,-0.230000
26.000000,-180.000000,-509.000000,0.980000,0.010000,-0.120000,-0.160000
321.000000,-348.000000,-872.000000,0.970000,0.130000,-0.190000,-0.130000
-446.000000,-754.000000,862.000000,0.910000,0.360000,-0.200000,-0.030000
-272.000000,-247.000000,642.000000,0.890000,0.410000,-0.200000,0.020000
-186.000000,16.000000,334.000000,0.890000,0.420000,-0.190000,0.020000
-101.000000,-104.000000,252.000000,0.880000,0.420000,-0.200000,0.020000
-166.000000,23.000000,361.000000,0.880000,0.430000,-0.200000,0.020000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
161.000000,-142.000000,-132.000000,0.940000,-0.170000,-0.200000,-0.200000
92.000000,-20.000000,-75.000000,0.940000,-0.170000,-0.200000,-0.200000
52.000000,-135.000000,-359.000000,0.940000,-0.170000,-0.200000,-0.200000
-167.000000,-287.000000,-700.000000,0.940000,-0.060000,-0.260000,-0.190000
532.000000,-1710.000000,-7.000000,0.910000,0.240000,-0.320000,-0.090000
-359.000000,-157.000000,810.000000,0.870000,0.390000,-0.300000,0.000000
-419.000000,37.000000,408.000000,0.860000,0.360000,-0.350000,-0.010000
-92.000000,31.000000,261.000000,0.860000,0.370000,-0.350000,-0.010000
-62.000000,62.000000,234.000000,0.860000,0.370000,-0.350000,-0.010000
-110.000000,87.000000,305.000000,0.860000,0.370000,-0.340000,-0.010000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-13.000000,-54.000000,285.000000,0.980000,0.100000,-0.170000,-0.060000
-198.000000,250.000000,187.000000,0.980000,0.080000,-0.160000,-0.050000
164.000000,134.000000,-910.000000,0.990000,0.020000,-0.150000,-0.060000
208.000000,-221.000000,-1034.000000,0.980000,0.050000,-0.160000,-0.040000
-176.000000,-720.000000,207.000000,0.940000,0.260000,-0.220000,0.000000
-846.000000,-426.000000,843.000000,0.870000,0.420000,-0.260000,0.050000
-274.000000,-121.000000,322.000000,0.850000,0.440000,-0.290000,0.050000
